Date,Invoice ID,Product Name,Category,Quantity,Unit Price,Total Sales,Payment Method,Branch,Customer Type
2024-12-27 20:00:00,INV1072,Jeans,Fashion,4,1635,6540,UPI,Riverside,New
2024-10-27 08:00:00,INV1073,Pen Set,Books,3,109,327,UPI,Riverside,Returning
2024-08-07 20:00:00,INV1074,Washing Machine,Home Appliances,3,15083,45249,Card,City Center,Returning
2024-03-26 22:00:00,INV1075,Notebook,Books,4,246,984,Card,Riverside,Returning
2024-01-03 16:00:00,INV1076,Mixer Grinder,Home Appliances,1,3455,3455,UPI,City Center,Returning
2024-11-29 14:00:00,INV1077,Novel,Books,5,635,3175,UPI,Riverside,Returning
2024-04-17 00:00:00,INV1078,Microwave,Home Appliances,2,7061,14122,Online Gateway,City Center,New
2024-08-15 15:00:00,INV1079,T-shirt,Fashion,5,939,4695,UPI,City Center,New
2024-03-25 11:00:00,INV1080,Notebook,Books,3,15,45,Card,City Center,New
2024-04-22 07:00:00,INV1081,Laptop,Electronics,2,60043,120086,Cash,Riverside,Returning
2024-08-07 02:00:00,INV1082,Notebook,Books,5,-1,-5,Online Gateway,Riverside,Returning
2024-08-22 02:00:00,INV1083,Shoes,Fashion,2,2635,5270,Cash,City Center,Returning
2024-10-07 16:00:00,INV1084,Shoes,Fashion,2,2656,5312,Online Gateway,City Center,New
2024-01-17 07:00:00,INV1085,Smartphone,Electronics,4,19868,79472,Online Gateway,Riverside,Returning
2024-09-02 12:00:00,INV1086,Novel,Books,5,518,2590,Online Gateway,City Center,Returning
2024-05-28 09:00:00,INV1087,Microwave,Home Appliances,3,7184,21552,Card,Riverside,Returning
2024-09-14 16:00:00,INV1088,Notebook,Books,2,40,80,Online Gateway,City Center,Returning
2024-05-09 03:00:00,INV1089,Shoes,Fashion,3,2471,7413,UPI,City Center,New
2024-09-18 14:00:00,INV1090,Headphones,Electronics,2,1496,2992,Card,City Center,New
2024-12-15 16:00:00,INV1091,Washing Machine,Home Appliances,4,14969,59876,Online Gateway,Riverside,New
2024-05-09 08:00:00,INV1092,Shoes,Fashion,4,2499,9996,Cash,Riverside,Returning
2024-10-27 15:00:00,INV1093,Laptop,Electronics,3,59952,179856,Online Gateway,Riverside,New
2024-04-12 06:00:00,INV1094,Microwave,Home Appliances,2,6939,13878,Online Gateway,Riverside,New
2024-04-23 19:00:00,INV1095,Washing Machine,Home Appliances,3,15142,45426,Online Gateway,City Center,Returning
2024-12-05 18:00:00,INV1096,Headphones,Electronics,5,1573,7865,Cash,Riverside,New
2024-07-29 16:00:00,INV1097,Smartphone,Electronics,4,19869,79476,Online Gateway,City Center,New
2024-12-03 22:00:00,INV1098,T-shirt,Fashion,4,767,3068,Card,Riverside,Returning
2024-06-09 00:00:00,INV1099,Jeans,Fashion,4,1742,6968,Online Gateway,Riverside,New
2024-02-12 20:00:00,INV1100,Microwave,Home Appliances,1,7183,7183,Cash,Riverside,New
2024-11-03 17:00:00,INV1101,Notebook,Books,1,299,299,Cash,City Center,New
2024-01-21 22:00:00,INV1102,Shoes,Fashion,1,2618,2618,Card,City Center,New
2024-10-14 22:00:00,INV1103,Microwave,Home Appliances,1,7088,7088,Card,Riverside,Returning
2024-10-16 02:00:00,INV1104,Jeans,Fashion,2,1910,3820,Cash,City Center,Returning
2024-07-06 00:00:00,INV1105,Smartphone,Electronics,5,19813,99065,UPI,Riverside,Returning
2024-01-09 14:00:00,INV1106,Pen Set,Books,2,-112,-224,Card,City Center,Returning
2024-08-01 22:00:00,INV1107,Notebook,Books,5,-39,-195,Cash,Riverside,Returning
2024-09-06 01:00:00,INV1108,Notebook,Books,3,-65,-195,UPI,City Center,Returning
2024-11-17 17:00:00,INV1109,Microwave,Home Appliances,1,7021,7021,UPI,Riverside,New
2024-10-20 03:00:00,INV1110,Washing Machine,Home Appliances,2,15175,30350,UPI,Riverside,Returning
2024-03-02 20:00:00,INV1111,Washing Machine,Home Appliances,5,14937,74685,UPI,City Center,New
2024-11-23 10:00:00,INV1112,T-shirt,Fashion,4,724,2896,Online Gateway,Riverside,Returning
2024-02-05 23:00:00,INV1113,Laptop,Electronics,4,59966,239864,Card,Riverside,New
2024-04-26 06:00:00,INV1114,Jeans,Fashion,3,1774,5322,UPI,Riverside,New
2024-11-04 16:00:00,INV1115,Mixer Grinder,Home Appliances,2,3343,6686,Card,Riverside,Returning
2024-12-30 19:00:00,INV1116,Mixer Grinder,Home Appliances,2,3653,7306,Online Gateway,Riverside,Returning
2024-08-01 04:00:00,INV1117,Laptop,Electronics,1,59950,59950,Card,Riverside,New
2024-09-07 19:00:00,INV1118,T-shirt,Fashion,5,788,3940,Online Gateway,Riverside,Returning
2024-03-14 05:00:00,INV1119,Pen Set,Books,5,19,95,UPI,Riverside,Returning
2024-11-11 14:00:00,INV1120,T-shirt,Fashion,3,718,2154,Cash,City Center,Returning
2024-09-22 14:00:00,INV1121,Smartphone,Electronics,5,20190,100950,Card,City Center,New
2024-10-14 04:00:00,INV1122,Pen Set,Books,4,-9,-36,UPI,City Center,New
2024-03-10 22:00:00,INV1123,T-shirt,Fashion,2,784,1568,Card,Riverside,New
2024-05-15 02:00:00,INV1124,Pen Set,Books,5,-86,-430,UPI,City Center,New
2024-07-12 04:00:00,INV1125,Mixer Grinder,Home Appliances,3,3657,10971,Card,Riverside,New
2024-02-14 03:00:00,INV1126,Laptop,Electronics,5,59945,299725,Online Gateway,Riverside,Returning
2024-10-04 20:00:00,INV1127,Jeans,Fashion,2,1626,3252,UPI,Riverside,New
2024-05-11 13:00:00,INV1128,Smartphone,Electronics,4,20051,80204,Cash,City Center,New
2024-09-03 11:00:00,INV1129,Headphones,Electronics,5,1455,7275,Cash,City Center,New
2024-04-22 05:00:00,INV1130,Mixer Grinder,Home Appliances,4,3610,14440,Card,Riverside,Returning
2024-05-31 03:00:00,INV1131,Microwave,Home Appliances,3,7101,21303,Online Gateway,Riverside,New
2024-08-15 02:00:00,INV1132,Novel,Books,1,690,690,Card,City Center,Returning
2024-03-10 07:00:00,INV1133,Notebook,Books,1,-20,-20,Card,City Center,New
2024-08-21 00:00:00,INV1134,Headphones,Electronics,1,1509,1509,Online Gateway,Riverside,Returning
2024-11-04 00:00:00,INV1135,Laptop,Electronics,2,59947,119894,UPI,Riverside,New
2024-02-24 10:00:00,INV1136,Notebook,Books,2,35,70,Card,Riverside,New
2024-10-09 08:00:00,INV1137,Mixer Grinder,Home Appliances,2,3631,7262,Card,Riverside,New
2024-09-01 08:00:00,INV1138,Smartphone,Electronics,1,19884,19884,UPI,Riverside,Returning
2024-11-09 14:00:00,INV1139,Smartphone,Electronics,4,20152,80608,UPI,Riverside,Returning
2024-08-20 07:00:00,INV1140,Mixer Grinder,Home Appliances,5,3552,17760,Online Gateway,City Center,New
2024-08-18 10:00:00,INV1141,Washing Machine,Home Appliances,3,15109,45327,UPI,City Center,New
2024-07-02 21:00:00,INV1142,Shoes,Fashion,5,2600,13000,Cash,Riverside,New
2024-06-05 04:00:00,INV1143,Headphones,Electronics,4,1565,6260,Online Gateway,Riverside,New
2024-01-28 15:00:00,INV1144,Novel,Books,4,625,2500,Online Gateway,City Center,Returning
2024-03-24 06:00:00,INV1145,Jeans,Fashion,4,1770,7080,UPI,City Center,New
2024-11-29 02:00:00,INV1146,Jeans,Fashion,4,1955,7820,Online Gateway,Riverside,Returning
2024-03-03 07:00:00,INV1147,Mixer Grinder,Home Appliances,1,3532,3532,Cash,Riverside,Returning
2024-05-17 16:00:00,INV1148,Jeans,Fashion,1,1995,1995,Online Gateway,City Center,Returning
2024-06-05 19:00:00,INV1149,Washing Machine,Home Appliances,1,14896,14896,UPI,Riverside,Returning
2024-08-06 00:00:00,INV1150,Laptop,Electronics,2,59936,119872,Card,Riverside,Returning
2024-03-18 05:00:00,INV1151,Pen Set,Books,4,-88,-352,Cash,City Center,New
2024-10-01 09:00:00,INV1152,T-shirt,Fashion,5,607,3035,Online Gateway,City Center,New
2024-02-23 19:00:00,INV1153,Smartphone,Electronics,4,19860,79440,Card,Riverside,Returning
2024-05-29 05:00:00,INV1154,Mixer Grinder,Home Appliances,3,3512,10536,Online Gateway,Riverside,New
2024-11-10 18:00:00,INV1155,Microwave,Home Appliances,5,6874,34370,Online Gateway,City Center,New
2024-10-30 08:00:00,INV1156,Smartphone,Electronics,3,20195,60585,Online Gateway,Riverside,Returning
2024-03-09 04:00:00,INV1157,Laptop,Electronics,3,60171,180513,UPI,Riverside,New
2024-06-03 00:00:00,INV1158,Microwave,Home Appliances,5,7047,35235,UPI,Riverside,Returning
2024-01-30 02:00:00,INV1159,Microwave,Home Appliances,3,6896,20688,Card,Riverside,New
2024-07-16 09:00:00,INV1160,Washing Machine,Home Appliances,1,14962,14962,Online Gateway,Riverside,Returning
2024-02-05 14:00:00,INV1161,Notebook,Books,2,153,306,Cash,City Center,Returning
2024-12-06 04:00:00,INV1162,Smartphone,Electronics,4,19851,79404,Online Gateway,City Center,New
2024-08-31 23:00:00,INV1163,Washing Machine,Home Appliances,2,14838,29676,Online Gateway,Riverside,Returning
2024-11-04 00:00:00,INV1164,Novel,Books,4,632,2528,Cash,Riverside,Returning
2024-09-29 00:00:00,INV1165,Jeans,Fashion,4,1877,7508,Cash,City Center,New
2024-08-06 17:00:00,INV1166,Notebook,Books,3,16,48,Cash,Riverside,New
2024-08-03 12:00:00,INV1167,Notebook,Books,1,127,127,Card,Riverside,New
2024-03-12 03:00:00,INV1168,Laptop,Electronics,3,59828,179484,UPI,Riverside,Returning
2024-08-29 07:00:00,INV1169,Washing Machine,Home Appliances,2,14925,29850,Online Gateway,City Center,New
2024-08-18 15:00:00,INV1170,Headphones,Electronics,1,1612,1612,Online Gateway,City Center,Returning
2024-07-24 11:00:00,INV1171,Novel,Books,2,418,836,Online Gateway,Riverside,Returning
2024-05-26 06:00:00,INV1172,T-shirt,Fashion,1,838,838,UPI,City Center,New
2024-01-09 10:00:00,INV1173,Microwave,Home Appliances,3,7100,21300,UPI,Riverside,Returning
2024-06-24 18:00:00,INV1174,Microwave,Home Appliances,3,6901,20703,Online Gateway,Riverside,New
2024-07-01 21:00:00,INV1175,Shoes,Fashion,4,2592,10368,UPI,Riverside,Returning
2024-04-06 23:00:00,INV1176,Laptop,Electronics,4,59940,239760,Cash,City Center,Returning
2024-11-29 12:00:00,INV1177,T-shirt,Fashion,2,910,1820,UPI,City Center,New
2024-05-02 03:00:00,INV1178,Novel,Books,3,647,1941,Card,City Center,New
2024-11-20 01:00:00,INV1179,T-shirt,Fashion,4,617,2468,UPI,City Center,New
2024-01-09 05:00:00,INV1180,T-shirt,Fashion,3,982,2946,Online Gateway,City Center,New
2024-10-23 21:00:00,INV1181,Headphones,Electronics,5,1487,7435,UPI,City Center,Returning
2024-03-21 10:00:00,INV1182,Microwave,Home Appliances,3,7182,21546,UPI,City Center,Returning
2024-09-18 23:00:00,INV1183,Smartphone,Electronics,2,20186,40372,Card,Riverside,Returning
2024-06-27 10:00:00,INV1184,Smartphone,Electronics,4,19807,79228,UPI,City Center,Returning
2024-04-14 15:00:00,INV1185,Jeans,Fashion,3,1899,5697,Online Gateway,Riverside,New
2024-01-28 11:00:00,INV1186,Notebook,Books,2,141,282,Cash,Riverside,New
2024-04-27 03:00:00,INV1187,Notebook,Books,1,225,225,Online Gateway,Riverside,Returning
2024-10-22 18:00:00,INV1188,Smartphone,Electronics,2,19823,39646,Cash,Riverside,Returning
2024-09-29 18:00:00,INV1189,Smartphone,Electronics,1,19920,19920,Card,Riverside,Returning
2024-03-23 18:00:00,INV1190,Jeans,Fashion,5,1814,9070,Card,Riverside,New
2024-12-13 10:00:00,INV1191,Microwave,Home Appliances,5,7008,35040,UPI,City Center,Returning
2024-05-01 07:00:00,INV1192,Shoes,Fashion,4,2527,10108,Card,Riverside,New
2024-03-13 06:00:00,INV1193,Notebook,Books,3,178,534,UPI,City Center,Returning
2024-03-17 19:00:00,INV1194,T-shirt,Fashion,2,662,1324,Online Gateway,City Center,New
2024-12-27 16:00:00,INV1195,Notebook,Books,5,-90,-450,Cash,Riverside,New
2024-05-04 00:00:00,INV1196,Headphones,Electronics,5,1405,7025,Cash,City Center,New
2024-03-22 15:00:00,INV1197,Shoes,Fashion,3,2696,8088,Card,City Center,Returning
2024-08-27 23:00:00,INV1198,Headphones,Electronics,2,1576,3152,UPI,City Center,New
2024-10-05 22:00:00,INV1199,Notebook,Books,1,-33,-33,Cash,Riverside,New
2024-04-09 09:00:00,INV1200,Novel,Books,3,308,924,Card,Riverside,New
2024-07-16 08:00:00,INV1201,Headphones,Electronics,4,1569,6276,Cash,City Center,Returning
2024-03-16 02:00:00,INV1202,Microwave,Home Appliances,3,7062,21186,Cash,Riverside,New
2024-12-05 19:00:00,INV1203,Novel,Books,1,672,672,UPI,Riverside,New
2024-12-04 08:00:00,INV1204,Laptop,Electronics,4,60005,240020,Online Gateway,City Center,Returning
2024-10-02 16:00:00,INV1205,Pen Set,Books,4,-113,-452,Cash,Riverside,New
2024-08-18 14:00:00,INV1206,Smartphone,Electronics,2,19940,39880,UPI,Riverside,Returning
2024-06-18 05:00:00,INV1207,Microwave,Home Appliances,5,7109,35545,Online Gateway,City Center,New
2024-01-11 22:00:00,INV1208,Notebook,Books,5,269,1345,Card,Riverside,Returning
2024-09-18 23:00:00,INV1209,Shoes,Fashion,4,2473,9892,Online Gateway,Riverside,Returning
2024-03-26 09:00:00,INV1210,Pen Set,Books,1,10,10,Online Gateway,Riverside,Returning
2024-08-13 23:00:00,INV1211,Jeans,Fashion,2,1951,3902,Online Gateway,City Center,New
2024-07-08 12:00:00,INV1212,Smartphone,Electronics,1,20021,20021,Cash,Riverside,New
2024-05-09 12:00:00,INV1213,Mixer Grinder,Home Appliances,1,3600,3600,UPI,City Center,Returning
2024-10-25 06:00:00,INV1214,Jeans,Fashion,4,1969,7876,Cash,Riverside,Returning
2024-11-04 08:00:00,INV1215,Jeans,Fashion,1,1895,1895,Card,City Center,Returning
2024-05-12 02:00:00,INV1216,Shoes,Fashion,1,2479,2479,UPI,City Center,Returning
2024-04-03 23:00:00,INV1217,Novel,Books,2,519,1038,Cash,Riverside,New
2024-02-18 02:00:00,INV1218,Headphones,Electronics,3,1659,4977,UPI,Riverside,Returning
2024-07-06 11:00:00,INV1219,Laptop,Electronics,2,59873,119746,Online Gateway,City Center,New
2024-09-19 07:00:00,INV1220,Pen Set,Books,1,-104,-104,Card,Riverside,Returning
2024-09-15 05:00:00,INV1221,Microwave,Home Appliances,3,6880,20640,UPI,Riverside,Returning
2024-03-09 16:00:00,INV1222,Novel,Books,5,343,1715,Cash,City Center,New
2024-08-18 19:00:00,INV1223,Novel,Books,1,645,645,Cash,Riverside,Returning
2024-06-23 23:00:00,INV1224,Notebook,Books,4,148,592,Online Gateway,Riverside,Returning
2024-12-17 21:00:00,INV1225,Shoes,Fashion,5,2358,11790,UPI,Riverside,New
2024-04-16 13:00:00,INV1226,T-shirt,Fashion,5,849,4245,UPI,City Center,New
2024-08-21 00:00:00,INV1227,Washing Machine,Home Appliances,5,14828,74140,Cash,City Center,Returning
2024-01-05 02:00:00,INV1228,Shoes,Fashion,2,2691,5382,UPI,Riverside,Returning
2024-04-01 16:00:00,INV1229,Smartphone,Electronics,1,20054,20054,Online Gateway,City Center,New
2024-05-03 09:00:00,INV1230,Washing Machine,Home Appliances,5,15160,75800,Card,Riverside,New
2024-07-26 05:00:00,INV1231,Washing Machine,Home Appliances,1,15023,15023,Cash,Riverside,New
2024-07-03 17:00:00,INV1232,Jeans,Fashion,5,1819,9095,Online Gateway,Riverside,Returning
2024-04-29 13:00:00,INV1233,Smartphone,Electronics,4,19810,79240,UPI,City Center,Returning
2024-02-09 20:00:00,INV1234,Pen Set,Books,3,-105,-315,Online Gateway,City Center,New
2024-12-14 00:00:00,INV1235,Washing Machine,Home Appliances,5,15005,75025,Cash,Riverside,Returning
2024-08-25 11:00:00,INV1236,Pen Set,Books,3,-37,-111,UPI,City Center,New
2024-10-16 08:00:00,INV1237,Mixer Grinder,Home Appliances,1,3571,3571,Card,Riverside,Returning
2024-07-06 05:00:00,INV1238,Pen Set,Books,2,-30,-60,Cash,City Center,Returning
2024-07-23 15:00:00,INV1239,Shoes,Fashion,2,2608,5216,Card,City Center,New
2024-06-15 03:00:00,INV1240,Notebook,Books,4,137,548,Online Gateway,Riverside,Returning
2024-09-07 15:00:00,INV1241,Headphones,Electronics,4,1334,5336,Online Gateway,Riverside,Returning
2024-02-20 18:00:00,INV1242,T-shirt,Fashion,5,628,3140,UPI,City Center,Returning
2024-07-06 08:00:00,INV1243,Microwave,Home Appliances,4,6819,27276,Cash,Riverside,Returning
2024-07-16 07:00:00,INV1244,Smartphone,Electronics,1,20114,20114,Online Gateway,Riverside,New
2024-07-08 19:00:00,INV1245,Microwave,Home Appliances,5,7133,35665,Card,Riverside,Returning
2024-12-01 10:00:00,INV1246,Mixer Grinder,Home Appliances,2,3331,6662,Online Gateway,City Center,Returning
2024-05-23 14:00:00,INV1247,Pen Set,Books,1,108,108,Card,City Center,New
2024-02-13 13:00:00,INV1248,Pen Set,Books,4,74,296,Card,Riverside,Returning
2024-10-14 05:00:00,INV1249,T-shirt,Fashion,4,809,3236,UPI,City Center,Returning
2024-03-11 13:00:00,INV1250,Smartphone,Electronics,3,19848,59544,Online Gateway,Riverside,Returning
2024-05-23 04:00:00,INV1251,Pen Set,Books,5,-74,-370,UPI,City Center,New
2024-12-30 18:00:00,INV1252,Jeans,Fashion,3,1935,5805,Online Gateway,City Center,New
2024-09-02 15:00:00,INV1253,T-shirt,Fashion,5,792,3960,UPI,City Center,New
2024-05-19 18:00:00,INV1254,Notebook,Books,4,160,640,UPI,City Center,Returning
2024-01-10 09:00:00,INV1255,T-shirt,Fashion,2,709,1418,UPI,Riverside,New
2024-07-22 21:00:00,INV1256,Shoes,Fashion,2,2379,4758,Cash,Riverside,New
2024-10-19 14:00:00,INV1257,Mixer Grinder,Home Appliances,5,3678,18390,Cash,Riverside,New
2024-08-21 08:00:00,INV1258,Novel,Books,4,378,1512,Card,City Center,New
2024-11-29 04:00:00,INV1259,Pen Set,Books,4,-128,-512,Online Gateway,Riverside,New
2024-11-16 03:00:00,INV1260,Microwave,Home Appliances,5,6945,34725,Online Gateway,City Center,New
2024-07-12 10:00:00,INV1261,T-shirt,Fashion,4,699,2796,UPI,Riverside,Returning
2024-11-15 23:00:00,INV1262,T-shirt,Fashion,4,857,3428,Online Gateway,City Center,New
2024-12-08 00:00:00,INV1263,Novel,Books,2,428,856,Cash,Riverside,Returning
2024-11-01 19:00:00,INV1264,Mixer Grinder,Home Appliances,1,3664,3664,Cash,Riverside,New
2024-04-01 21:00:00,INV1265,Headphones,Electronics,3,1530,4590,Card,Riverside,New
2024-02-14 13:00:00,INV1266,Shoes,Fashion,4,2478,9912,Cash,Riverside,New
2024-05-23 12:00:00,INV1267,Washing Machine,Home Appliances,5,14991,74955,Card,Riverside,New
2024-02-14 04:00:00,INV1268,Jeans,Fashion,2,1614,3228,UPI,City Center,Returning
2024-04-06 23:00:00,INV1269,Headphones,Electronics,2,1319,2638,UPI,Riverside,New
2024-05-22 12:00:00,INV1270,Pen Set,Books,4,79,316,Cash,City Center,New
2024-01-13 13:00:00,INV1271,T-shirt,Fashion,2,676,1352,Online Gateway,City Center,Returning
2024-01-26 06:00:00,INV1272,Shoes,Fashion,3,2362,7086,Cash,City Center,Returning
2024-05-12 02:00:00,INV1273,Notebook,Books,5,134,670,Cash,City Center,Returning
2024-01-30 03:00:00,INV1274,Novel,Books,5,308,1540,Card,City Center,Returning
2024-07-31 00:00:00,INV1275,Washing Machine,Home Appliances,1,15114,15114,UPI,City Center,Returning
2024-01-08 22:00:00,INV1276,Headphones,Electronics,1,1568,1568,UPI,City Center,New
2024-02-10 20:00:00,INV1277,Washing Machine,Home Appliances,4,14822,59288,Online Gateway,Riverside,Returning
2024-05-03 23:00:00,INV1278,Pen Set,Books,1,32,32,Cash,Riverside,New
2024-09-11 06:00:00,INV1279,Pen Set,Books,1,245,245,UPI,City Center,New
2024-02-19 08:00:00,INV1280,Jeans,Fashion,5,1773,8865,Card,Riverside,Returning
2024-05-18 15:00:00,INV1281,Notebook,Books,2,-31,-62,Cash,Riverside,New
2024-05-21 10:00:00,INV1282,T-shirt,Fashion,2,622,1244,Card,City Center,Returning
2024-12-12 15:00:00,INV1283,T-shirt,Fashion,5,803,4015,Online Gateway,Riverside,New
2024-03-16 16:00:00,INV1284,Notebook,Books,2,46,92,UPI,City Center,Returning
2024-08-31 22:00:00,INV1285,T-shirt,Fashion,1,788,788,Online Gateway,Riverside,Returning
2024-10-06 13:00:00,INV1286,Washing Machine,Home Appliances,3,14895,44685,Online Gateway,Riverside,Returning
